offset,tag,status,feasible,td_tilt,anterior,mean_tilt,td_hipflex,speed,step,semimem_peakLM,semimem_peakLMT,semimem_peakFpe,semimem_peakEccLoad,semimem_peakComp,semimem_eccWork,semimem_tPeakPct,semiten_peakLM,semiten_peakLMT,semiten_peakFpe,semiten_peakEccLoad,semiten_peakComp,semiten_eccWork,semiten_tPeakPct,bifemlh_peakLM,bifemlh_peakLMT,bifemlh_peakFpe,bifemlh_peakEccLoad,bifemlh_peakComp,bifemlh_eccWork,bifemlh_tPeakPct,bifemsh_peakLM,bifemsh_peakLMT,bifemsh_peakFpe,bifemsh_peakEccLoad,bifemsh_peakComp,bifemsh_eccWork,bifemsh_tPeakPct
-8,m8,Solve_Succeeded,True,-15.987,15.987,-15.0125,42.3798,11.7467,2.47,1.0464,0.4943,0.0256,1.1461,550.7218,18.2178,40.8333,1.1573,0.5388,0.0538,0.498,114.3819,2.8732,38.3333,1.0821,0.4971,0.0328,0.8547,463.3849,13.3818,39.1667,0.9403,0.2576,0.0124,0.3183,96.8157,6.3867,52.3333
-6,m6,Solve_Succeeded,True,-13.987,13.987,-12.8611,39.8469,11.766,2.47,1.0258,0.4923,0.0224,1.1298,506.8234,16.8035,40.3333,1.1453,0.5363,0.0498,0.4942,107.2589,2.7141,37.6667,1.0649,0.495,0.0294,0.8647,437.6057,12.5942,38.5,0.9401,0.2576,0.0124,0.3137,91.7257,6.2478,52.1667
-4,m4,Solve_Succeeded,True,-11.987,11.987,-11.1268,37.7155,11.7968,2.47,1.0049,0.4905,0.0194,1.1073,449.6349,15.4116,40.3333,1.1339,0.5339,0.0461,0.4824,101.4907,2.5944,37.8333,1.047,0.493,0.0261,0.8404,428.2929,12.3476,38.5,0.9407,0.2576,0.0125,0.3137,97.1921,6.5009,52.3333
-2,m2,Solve_Succeeded,True,-9.987,9.987,-9.2684,35.4933,11.7978,2.47,0.9904,0.489,0.0177,1.0911,456.8839,15.7179,39.6667,1.1253,0.532,0.0437,0.4236,103.0327,2.6321,37.3333,1.0343,0.4914,0.0241,0.8636,416.1318,11.8283,37.8333,0.941,0.2576,0.0125,0.3116,94.8684,6.4871,52.3333
0,p0,Solve_Succeeded,True,-7.987,7.987,-7.334,33.251,11.7924,2.47,0.9696,0.487,0.0154,1.0777,400.6058,13.8072,39.6667,1.1137,0.5296,0.0404,0.4782,95.679,2.4413,37.1667,1.016,0.4892,0.0214,0.8503,413.1219,11.9606,37.6667,0.9412,0.2576,0.0125,0.3074,99.5828,6.6573,52.3333
