offset,tag,td_tilt,anterior,speed,peakVert,peakBrake,peakProp,contact_ms,vertImp,brakeImp,propImp,loadRate
-8,m8,-15.4626,15.4626,11.7156,5.7123,1.7646,0.8691,75.8988,0.2107,0.0205,0.0317,203.8701
-6,m6,-13.4626,13.4626,11.742,5.7139,1.7501,0.8686,75.7281,0.2103,0.0202,0.0315,204.3867
-4,m4,-11.4626,11.4626,11.761,5.7204,1.7277,0.8644,75.6058,0.2099,0.0199,0.0312,204.9511
-2,m2,-9.4626,9.4626,11.7734,5.7366,1.75,0.862,75.5265,0.2097,0.02,0.0314,205.7494
0,p0,-7.4626,7.4626,11.776,5.7406,1.7416,0.8639,75.5095,0.2097,0.02,0.0313,205.938
2,p2,-5.4626,5.4626,11.7734,5.7523,1.7321,0.8592,75.5259,0.2097,0.0198,0.0312,206.3139
4,p4,-3.4626,3.4626,11.7601,5.7499,1.7219,0.8594,75.6117,0.21,0.0197,0.0311,205.9913
6,p6,-1.4626,1.4626,11.7448,5.7356,1.7033,0.8508,74.2169,0.2101,0.0195,0.0308,221.5461
