offset,ptMean,speed,hipR_TD,semimem_l_nominal_mm,semimem_l_optOFF_mm,semimem_l_optON_mm,semiten_l_nominal_mm,semiten_l_optOFF_mm,semiten_l_optON_mm,bifemlh_l_nominal_mm,bifemlh_l_optOFF_mm,bifemlh_l_optON_mm,bifemsh_l_nominal_mm,bifemsh_l_optOFF_mm,bifemsh_l_optON_mm
-6,-13.108177676219825,10.620351835730865,37.588356226684056,459.29160850070224,459.2916085007022,463.857114345385,516.8050857293118,516.8050857293118,522.3539646158342,474.3225954185386,474.3225954185383,478.39487558698465,242.35010114601403,242.35010114601417,242.34990486350515
-4,-11.203222489287167,10.519822998312806,35.35816551424358,459.29160850070224,459.291608500702,462.0546803492724,516.8050857293118,516.805085729312,519.9682636525229,474.3225954185386,474.3225954185386,476.33211864838756,242.35010114601403,242.35010114601417,242.35004312523668
-2,-9.179505417709015,11.504101304544907,34.66429116909018,459.29160850070224,459.29160850070247,461.2319669397051,516.8050857293118,516.805085729312,519.2506328639477,474.3225954185386,474.32259541853836,476.07407934219293,242.35010114601403,242.3501011460142,242.3496766938079
0,-7.264775510434942,11.777384647674099,32.7769552229182,459.29160850070224,459.29160850070224,459.29216259794475,516.8050857293118,516.8050857293118,516.8058064601205,474.3225954185386,474.3225954185386,474.3231896392118,242.35010114601403,242.35010114601403,242.35010114077244
2,-5.71057678892505,11.775021023902173,31.215270800891343,459.29160850070224,459.2916085007023,458.0990061759878,516.8050857293118,516.805085729312,515.3966772246521,474.3225954185386,474.3225954185384,473.1804798567428,242.35010114601403,242.35010114601425,242.35010114601397
4,-3.6251349266227066,11.762908478427288,29.116406962025334,459.29160850070224,459.29160850070207,456.3417807744342,516.8050857293118,516.8050857293123,513.3096728799032,474.3225954185386,474.3225954185382,471.3781945159968,242.35010114601403,242.3501011460141,242.35010114077224
6,-1.543259619041702,11.748587102351175,26.98442015453467,459.29160850070224,459.2916085007023,455.0577901726491,516.8050857293118,516.805085729312,511.92549661411556,474.3225954185386,474.32259541853864,470.2670626711829,242.35010114601403,242.35010114601414,242.35010114077232
