athlete,weight,speed,peakLM,peakFceN,peakFceNorm,peakFpet,eccPeakFceN,eccPeakFceNorm,eccWorkJ,Fmax,semimem_peakFceN,semiten_peakFceN,bifemlh_peakFceN,semimem_peakFceNorm,semiten_peakFceNorm,bifemlh_peakFceNorm
Nom,0.0,11.777385268440195,1.0261814361971973,1533.5105397879063,0.8784266425789952,0.02458018973729602,1048.753187984601,0.5915578961007771,11.430178056014933,1729.3333333333333,2273.07472445558,686.4508198467311,1641.0060750614075,0.8824047843383463,0.8371351461545502,0.9157399972440889
Nom,0.05,11.766704461300087,1.001978861816613,1532.4769186918681,0.8913131921422349,0.021153547584348092,1035.210252838121,0.5957259689812981,11.26119282317019,1729.3333333333333,2234.8717034074602,737.7024626594848,1624.8565900086592,0.8675744190246351,0.8996371495847377,0.9067280078173321
Nom,0.1,11.749048837350943,0.9860445989139084,1522.5583111048752,0.8902096220761854,0.019174626779569447,1021.0867603761461,0.5910660022022806,10.784856862566437,1729.3333333333333,2208.5589569700596,751.0441688175333,1608.0718075270324,0.8573598435442777,0.9159075229482114,0.8973614997360672
Nom,0.2,11.705168724001828,0.9585583515872415,1498.278928907065,0.8850052376343859,0.016215647576188454,986.9674834550968,0.5780146320330753,9.915123772741309,1729.3333333333333,2118.524258021087,765.7716986201852,1610.5408300799224,0.8224084852566333,0.9338679251465674,0.8987393024999567
Nom,0.4,11.645970778879748,0.9313596718576956,1467.5999715441574,0.8774709585231798,0.013758589822307508,944.9423685905687,0.5614663820504555,8.917626393792391,1729.3333333333333,2024.9749551811424,785.2265028600887,1592.5984565912408,0.7860927621044808,0.9575932961708398,0.8887268172942192
Nom,0.8,11.59804744329214,0.9145657903927926,1455.1944877280966,0.8780026137580732,0.01236604961077186,917.5662391287369,0.5516142051887928,8.894348250534904,1729.3333333333333,1977.2310341334867,806.775859400441,1581.5765696503622,0.7675586312629995,0.9838729992688307,0.8825762107423896
Nom,1.6,11.555253368474817,0.9064115534398138,1455.4342184737732,0.8808204329235706,0.011710431583999342,897.1154148714945,0.5415512007828251,8.54787939949923,1729.3333333333333,1971.5690813109363,817.4950820982414,1577.2384920121417,0.7653606682107672,0.9969452220710261,0.8801554084889184
Nom,3.2,11.514364657746812,0.9029693241276256,1439.2515942326518,0.8755442900665997,0.01136329751734969,869.0430795037881,0.5289513078722256,7.988179453852325,1729.3333333333333,1918.2618044790343,820.8352954962102,1578.6576827227104,0.7446668495648424,1.0010186530441587,0.8809473675907982
Sh,0.0,11.67894679166103,1.2291654924628255,1368.5330773280084,0.702865122703609,0.10898411491338093,959.185278075479,0.48856543966504945,10.066639819953908,1729.3333333333333,2360.2914889755507,330.15397741039243,1415.1537655980821,0.9162622239811921,0.40262680171999077,0.789706342409644
Sh,0.2,10.997627727440912,1.0566437133783386,1493.3352445407945,0.8949188496687698,0.040192578909820365,899.6254135718997,0.5405543268213813,7.5581693643912375,1729.3333333333333,2122.8972930512223,824.3675784374659,1532.7408621336954,0.82410609202299,1.0053263151676413,0.8553241418156783
Sh,0.8,9.976872829103115,0.979683554903558,1628.419514705053,0.9841458988058026,0.02670965285909047,1452.6314196353962,0.875044802726879,9.41474558447373,1729.3333333333333,2384.148761878994,954.2372906385867,1546.8724915975783,0.9255235876859448,1.1637040129738863,0.8632100957575772
Sh,3.2,8.368374665377162,0.9183454574105155,1609.365220052335,1.007556752709114,0.018709831346376892,1609.365220052335,1.007556752709114,9.470242553318778,1729.3333333333333,2148.5666655908744,1048.1498454236566,1631.379149142474,0.8340709105554637,1.2782315188093374,0.9103678287625412
Wk,0.0,11.606440988375454,1.0169233255311092,1262.1878222180987,0.9050255989048273,0.02312073298198171,839.5699003368163,0.5947245821048194,8.995041505172145,1383.466666666667,1894.1457090863755,575.5604954050691,1316.8572621628516,0.9191312641141185,0.8773788039711419,0.9185667286292212
Wk,0.2,11.542327392230785,0.9526028247921597,1232.3055590433344,0.9057012149113094,0.015616485419430256,788.1139292439565,0.5751169824470834,8.223303518410518,1383.466666666667,1783.2309876956833,625.1619111428398,1288.52377829148,0.8653100677871134,0.9529907182055485,0.8988028587412666
Wk,0.8,11.444523111459882,0.9124830449237761,1225.0220842874985,0.9109332531532089,0.012273526670238642,754.9097179878249,0.5572317479850222,8.523147809661374,1383.466666666667,1749.9058215688874,654.0221422419604,1271.138289051648,0.8491390826712379,0.9969849729298177,0.8866757038585712
Wk,3.2,11.365314239219854,0.8966077428744289,1221.8911280591512,0.916272298487411,0.011143915530523485,727.7277987334575,0.5443766907682758,7.082481678549274,1383.466666666667,1708.8062875980627,670.7650583466516,1286.1020382327392,0.8291955976310474,1.022507710894286,0.8971135869368994
