athlete,weight,cond,speed,peak_lMtilde,ecc_work,peak_Fpetilde,fasc_mtu,dspeed_pct,dstrain_pct,efficiency,free_lunch,N
Nom,0.0,HamPareto_Nom_w0000,11.777385268440195,1.0261814361971973,11.430178056014933,0.02458018973729602,0.8049073728674633,0.0,0.0,inf,False,50
Nom,0.05,HamPareto_Nom_w0050,11.766704461300087,1.001978861816613,11.26119282317019,0.021153547584348092,0.7987973491035459,0.09068912068903476,2.3585083033925933,26.006518593114567,True,50
Nom,0.1,HamPareto_Nom_w0100,11.749048837350943,0.9860445989139084,10.784856862566437,0.019174626779569447,0.7946945117284666,0.24060035774821478,3.9112807801344727,16.256338173144275,True,50
Nom,0.2,HamPareto_Nom_w0200,11.705168724001828,0.9585583515872415,9.915123772741309,0.016215647576188454,0.7871496290758451,0.6131797745624037,6.589778593203954,10.746894901918049,False,50
Nom,0.4,HamPareto_Nom_w0400,11.645970778879748,0.9313596718576956,8.917626393792391,0.013758589822307508,0.7790692730037425,1.1158205880603869,9.240253330920721,8.281128193720557,False,50
Nom,0.8,HamPareto_Nom_w0800,11.59804744329214,0.9145657903927926,8.894348250534904,0.01236604961077186,0.7746010772848791,1.5227303943993904,10.876794479739146,7.142954865644009,False,50
Nom,1.6,HamPareto_Nom_w1600,11.555253368474817,0.9064115534398138,8.54787939949923,0.011710431583999342,0.768127132245743,1.8860884220254193,11.671413897451144,6.188158392339596,False,50
Nom,3.2,HamPareto_Nom_w3200,11.514364657746812,0.9029693241276256,7.988179453852325,0.01136329751734969,0.7693824709537237,2.233268290867567,12.006854511631841,5.3763600910517955,False,50
Sh,0.0,HamFascicle_m20 (base),11.67894679166103,1.2291654924628255,10.066639819953908,0.10898411491338093,0.8187654507075531,0.0,0.0,inf,False,50
Sh,0.2,HamPareto_Sh_w0200,10.997627727440912,1.0566437133783386,7.5581693643912375,0.040192578909820365,0.7799329182738024,5.8337372057092605,14.035683570876406,2.4059506069522993,False,50
Sh,0.8,HamPareto_Sh_w0800,9.976872829103115,0.979683554903558,9.41474558447373,0.02670965285909047,0.763268698845953,14.573865203095412,20.296854987312685,1.3926885355713143,False,50
Sh,3.2,HamPareto_Sh_w3200,8.368374665377162,0.9183454574105155,9.470242553318778,0.018709831346376892,0.7302869679284444,28.346495496046558,25.28707785552402,0.8920706920914006,False,50
Wk,0.0,HamStrength_m20 (base),11.606440988375454,1.0169233255311092,8.995041505172145,0.02312073298198171,0.798693341987217,0.0,0.0,inf,False,50
Wk,0.2,HamPareto_Wk_w0200,11.542327392230785,0.9526028247921597,8.223303518410518,0.015616485419430256,0.7822095028873779,0.5523966925682232,6.325009872829571,11.450122634556518,False,50
Wk,0.8,HamPareto_Wk_w0800,11.444523111459882,0.9124830449237761,8.523147809661374,0.012273526670238642,0.766186178028836,1.3950691437430516,10.270221754701815,7.361801241726424,False,50
Wk,3.2,HamPareto_Wk_w3200,11.365314239219854,0.8966077428744289,7.082481678549274,0.011143915530523485,0.7602581944999652,2.077525310274719,11.831332769738859,5.694916307986812,False,50
