label,imposed,status,speed,time,ptMean,ptMin,ptMax,grfVpeak,semimem_L_peakLM,semimem_L_tPeakPct,semimem_L_peakVMecc,semimem_L_peakEccLoad,semimem_L_peakFpe,semimem_L_peakFceN,semimem_L_peakFceNorm,semimem_L_comp,semiten_L_peakLM,semiten_L_tPeakPct,semiten_L_peakVMecc,semiten_L_peakEccLoad,semiten_L_peakFpe,semiten_L_peakFceN,semiten_L_peakFceNorm,semiten_L_comp,bifemlh_L_peakLM,bifemlh_L_tPeakPct,bifemlh_L_peakVMecc,bifemlh_L_peakEccLoad,bifemlh_L_peakFpe,bifemlh_L_peakFceN,bifemlh_L_peakFceNorm,bifemlh_L_comp,bifemsh_L_peakLM,bifemsh_L_tPeakPct,bifemsh_L_peakVMecc,bifemsh_L_peakEccLoad,bifemsh_L_peakFpe,bifemsh_L_peakFceN,bifemsh_L_peakFceNorm,bifemsh_L_comp,semimem_R_peakLM,semimem_R_tPeakPct,semimem_R_peakVMecc,semimem_R_peakEccLoad,semimem_R_peakFpe,semimem_R_peakFceN,semimem_R_peakFceNorm,semimem_R_comp,semiten_R_peakLM,semiten_R_tPeakPct,semiten_R_peakVMecc,semiten_R_peakEccLoad,semiten_R_peakFpe,semiten_R_peakFceN,semiten_R_peakFceNorm,semiten_R_comp,bifemlh_R_peakLM,bifemlh_R_tPeakPct,bifemlh_R_peakVMecc,bifemlh_R_peakEccLoad,bifemlh_R_peakFpe,bifemlh_R_peakFceN,bifemlh_R_peakFceNorm,bifemlh_R_comp,bifemsh_R_peakLM,bifemsh_R_tPeakPct,bifemsh_R_peakVMecc,bifemsh_R_peakEccLoad,bifemsh_R_peakFpe,bifemsh_R_peakFceN,bifemsh_R_peakFceNorm,bifemsh_R_comp,semimem_LRasym_peakLM_pct,semiten_LRasym_peakLM_pct,bifemlh_LRasym_peakLM_pct,bifemsh_LRasym_peakLM_pct
Nominal,NaN,Solve_Succeeded,11.7774,0.209724,-7.26423,-9.91564,-2.59468,4073.17,0.985618,80.6667,1.11215,2.02601,0.0168615,3091.88,3147.42,681.18,1.13433,75.3333,0.502984,0.798267,0.0455956,821.732,882.047,176.585,1.04549,76.6667,0.770205,1.31798,0.025177,2330.96,2335.05,761.84,0.939291,100,0.36805,0.552119,0.0123573,1725.3,1795.64,176.065,0.934729,0,0.124334,0.154863,0.0119845,1454.26,1503.85,20.8913,1.08225,0,0.0590406,0.0668587,0.032195,551.171,568.127,1.89483,0.974683,0,0.184682,0.245174,0.0156697,951.057,958.936,16.3387,0.944271,6,0.0561629,0.0632795,0.0127775,1387.87,1430.06,75.4403,5.3,4.69885,7.00987,0.528768
-7 deg,-7,Solved_To_Acceptable_Level,11.7755,0.209758,-7.38983,-10.0359,-2.7212,4074.57,0.986807,80.6667,1.10908,2.01948,0.0169964,3094.82,3148.14,682.556,1.13504,75.3333,0.500948,0.794457,0.0458104,820.822,881.878,176.741,1.04645,76.6667,0.781642,1.34097,0.02534,2331.39,2335.19,764.197,0.939289,100,0.368192,0.552371,0.0123572,1725.19,1795.55,176.096,0.93597,0,0.124841,0.15559,0.0120848,1455.66,1503.8,21.0579,1.08298,0,0.0592919,0.0671727,0.0323525,550.72,568.041,1.91647,0.975819,0,0.184687,0.245182,0.0157895,951.713,959.123,16.3574,0.944266,6,0.0561043,0.0632069,0.0127771,1388.05,1430.24,75.371,5.28785,4.69342,6.98572,0.528374
-10 deg,-10,Solve_Succeeded,11.7752,0.209763,-8.4958,-11.1199,-4,4058.69,0.996437,80.6667,1.11868,2.03991,0.0181293,3157.52,3203.51,777.909,1.14099,76,0.477649,0.751056,0.0476678,800.193,870.244,165.537,1.05432,77.3333,0.763022,1.30356,0.0267098,2316.93,2317.05,763.015,0.939039,100,0.373053,0.560993,0.0123364,1725.14,1792.86,175.988,0.947608,0,0.119336,0.147725,0.013067,1474.03,1509.57,19.6778,1.0898,0,0.0534149,0.0598889,0.0338596,545.242,566.098,1.66207,0.986146,0,0.177679,0.234344,0.0169213,958.507,962.241,15.0466,0.943764,5.33333,0.0539985,0.0606067,0.0127341,1423.21,1466.75,74.374,5.02339,4.5894,6.68253,0.501967
