source_file,abspath,sha256,size_bytes,mtime,experiment,condition,requested_offset_deg,mesh_N,muscle_cols,q_cols,return_status,strict,success,iter_count,final_inf_pr,final_inf_du,final_obj,td_tilt_deg_signed,anterior_tilt_deg,achieved_offset_vs_nomN_deg,mean_tilt_deg,speed_mps,speed_error_pct_vs_nomN,totalTime_s,t0_s,tE_s,warm_start_source,error
pred_sprinting_data_23-July-2026__17-25-32___HamPareto_Nom_w0050.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__17-25-32___HamPareto_Nom_w0050.mat,e4e22e547901f622bf252a3f6de2f51d477542efb74636e39b7803fdf4093b79,4604123,2026-07-23T17:25:32,HamPareto,HamPareto_Nom_w0050,nan,50,151,200,Solve_Succeeded,True,True,328,4.974357907921286e-08,3.3725686548474862e-06,-117.08583848000254,-5.3513,5.3513,2.553,-4.9509,11.766704,-0.708,0.209914,0.056,0.26591,see_logs,
pred_sprinting_data_15-August-2026__21-57-37___HamPareto_Nom_w0050.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_15-August-2026__21-57-37___HamPareto_Nom_w0050.mat,9599cb7ae652c21c385468cfc1f9dac91e8191e1fd0f88d7bca27c2e4c8b8190,9163064,2026-08-15T21:57:37,HamPareto,HamPareto_Nom_w0050,nan,100,301,400,Solve_Succeeded,True,True,682,3.4912151590417268e-09,4.4065744543386126e-07,-117.50046596802152,-5.9995,5.9995,1.9875,-5.4477,11.817501,-0.1441,0.209012,0.056,0.26501,see_logs,
pred_sprinting_data_23-July-2026__17-43-08___HamPareto_Nom_w0100.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__17-43-08___HamPareto_Nom_w0100.mat,70bfa2c2ce71ba591c901b914c3db175481575b9136de27292a8b94b10a5fe1d,4597910,2026-07-23T17:43:08,HamPareto,HamPareto_Nom_w0100,nan,50,151,200,Solve_Succeeded,True,True,351,3.6565791759563767e-09,1.335334209055552e-06,-116.67841568841403,-3.9703,3.9703,3.934,-3.4051,11.749049,-0.857,0.21023,0.056,0.26623,see_logs,
pred_sprinting_data_15-August-2026__23-30-42___HamPareto_Nom_w0100.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_15-August-2026__23-30-42___HamPareto_Nom_w0100.mat,afdb9a0e8f49daa8100ca1e1c234dd3dae57e01222eee4d94315c53005150751,9163159,2026-08-15T23:30:42,HamPareto,HamPareto_Nom_w0100,nan,100,301,400,Solve_Succeeded,True,True,446,1.9627880308531586e-08,6.071680131494268e-07,-117.0318291924381,-4.3232,4.3232,3.6638,-3.6629,11.795101,-0.3334,0.209409,0.056,0.26541,see_logs,
pred_sprinting_data_16-August-2026__03-57-45___HamPareto_Nom_w0100.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_16-August-2026__03-57-45___HamPareto_Nom_w0100.mat,f1abb14c428edb0a0682afb4738876ba2ba81d86c126f631c154bbea8afcb454,9168348,2026-08-16T03:57:45,HamPareto,HamPareto_Nom_w0100,nan,100,301,400,Solve_Succeeded,True,True,553,6.913676145470875e-09,5.391210526431231e-07,-117.03183247420543,-4.2995,4.2995,3.6875,-3.6478,11.79509,-0.3335,0.209409,0.056,0.26541,see_logs,
pred_sprinting_data_16-August-2026__07-39-58___HamPareto_Nom_w0100.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_16-August-2026__07-39-58___HamPareto_Nom_w0100.mat,d98ac73fa1ff686a7778ee5dec2e46a5a155900a954c299eed3b82574c0e2080,9159848,2026-08-16T07:39:59,HamPareto,HamPareto_Nom_w0100,nan,100,301,400,Solve_Succeeded,True,True,532,5.8945474672840825e-09,2.9334711628527825e-07,-117.03813256366844,-4.4642,4.4642,3.5228,-3.8992,11.792856,-0.3524,0.209449,0.056,0.26545,see_logs,
pred_sprinting_data_23-July-2026__17-04-03___HamPareto_Nom_w0200.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__17-04-03___HamPareto_Nom_w0200.mat,5d3efb2b937732b4d28ad31fe468d8626bc5a2b95843344c901c8d4b1ec0b64b,4585915,2026-07-23T17:04:03,HamPareto,HamPareto_Nom_w0200,nan,50,151,200,Solve_Succeeded,True,True,10,3.454296368419927e-08,1.6479489203690774e-06,-117.66927708563178,-7.4619,7.4619,0.4424,-7.264,11.777386,-0.6179,0.209724,0.056,0.26572,see_logs,
pred_sprinting_data_23-July-2026__18-03-58___HamPareto_Nom_w0200.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__18-03-58___HamPareto_Nom_w0200.mat,66ce4a7d391e72c5436116611124a9521da4e69ccd7140d617debaed7fdd0918,4607323,2026-07-23T18:03:59,HamPareto,HamPareto_Nom_w0200,nan,50,151,200,Solve_Succeeded,True,True,377,9.128223698697092e-09,1.8073626418870057e-06,-116.15398266999311,-1.335,1.335,6.5693,-0.8244,11.705169,-1.2272,0.211018,0.056,0.26702,see_logs,
pred_sprinting_data_16-August-2026__02-26-49___HamPareto_Nom_w0200.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_16-August-2026__02-26-49___HamPareto_Nom_w0200.mat,d8d44a01d78cb8f9c0186a1ac7857aed20e15287d39063b40b2bf98b46b06a22,9183525,2026-08-16T02:26:49,HamPareto,HamPareto_Nom_w0200,nan,100,301,400,Solve_Succeeded,True,True,915,5.6388695027892386e-08,8.595473318839987e-06,-116.43391515853787,-1.7083,1.7083,6.2787,-0.8799,11.745483,-0.7527,0.210294,0.056,0.26629,see_logs,
pred_sprinting_data_16-August-2026__05-49-46___HamPareto_Nom_w0200.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_16-August-2026__05-49-46___HamPareto_Nom_w0200.mat,ed0735a300562dd5221fdd134e9ba54720d9559ecd4262251154718f28d5f9cb,9182882,2026-08-16T05:49:46,HamPareto,HamPareto_Nom_w0200,nan,100,301,400,Solve_Succeeded,True,True,702,5.4039765896028475e-09,5.338424897853638e-07,-116.43125779576566,-1.6467,1.6467,6.3403,-0.988,11.74307,-0.7731,0.210337,0.056,0.26634,see_logs,
pred_sprinting_data_23-July-2026__18-25-35___HamPareto_Nom_w0400.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__18-25-35___HamPareto_Nom_w0400.mat,f5da18c4896e739ebcfe616714c47f4677c241bc3a0a40228187a971ad84a6f3,4612463,2026-07-23T18:25:35,HamPareto,HamPareto_Nom_w0400,nan,50,151,200,Solve_Succeeded,True,True,416,5.657467888005594e-08,5.595226847401043e-06,-115.63673785349802,1.467,-1.467,9.3713,1.9019,11.645971,-1.7268,0.212091,0.056,0.26809,see_logs,
pred_sprinting_data_23-July-2026__17-04-39___HamPareto_Nom_w0800.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__17-04-39___HamPareto_Nom_w0800.mat,ef8af24479ffb51e5ac11e5075907476c35c1902f68f867f5356c7f77ee5f9b0,4585081,2026-07-23T17:04:40,HamPareto,HamPareto_Nom_w0800,nan,50,151,200,Solve_Succeeded,True,True,3,6.7264113310871875e-09,8.994927682828118e-07,-117.66837992634402,-7.4619,7.4619,0.4424,-7.264,11.777386,-0.6179,0.209724,0.056,0.26572,see_logs,
pred_sprinting_data_23-July-2026__18-40-26___HamPareto_Nom_w0800.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__18-40-26___HamPareto_Nom_w0800.mat,d5f2d6f758982d5f43b891476d8ce54fe807c23a0b4e7cb32f7a1550787cf495,4608187,2026-07-23T18:40:26,HamPareto,HamPareto_Nom_w0800,nan,50,151,200,Solve_Succeeded,True,True,298,7.886415909688347e-09,1.0642203809195728e-06,-115.24187465421761,3.1925,-3.1925,11.0968,3.4511,11.598047,-2.1312,0.212967,0.056,0.26897,see_logs,
