source_file,experiment,condition,mesh_N,requested_offset_deg,return_status,strict,anterior_tilt_deg,speed_mps,final_inf_pr,adopted
pred_sprinting_data_28-October-2023__10-08-04___HTD_Minus_4.mat,Haralabidis_TD,HTD_Minus_4,50,,Solve_Succeeded,True,8.9172,11.29674,1.247e-08,
pred_sprinting_data_28-October-2023__09-53-48___HTD_Minus_6.mat,Haralabidis_TD,HTD_Minus_6,50,,Solve_Succeeded,True,6.8341,10.98744,5.102e-09,
pred_sprinting_data_27-October-2023__18-13-56___HTD_Plus_2.mat,Haralabidis_TD,HTD_Plus_2,50,,Solve_Succeeded,True,6.7544,11.82715,1.928e-08,
pred_sprinting_data_26-October-2023__22-16-25___HTD_Plus_4.mat,Haralabidis_TD,HTD_Plus_4,50,,Solve_Succeeded,True,5.4618,11.81694,4.815e-08,
pred_sprinting_data_28-October-2023__10-02-52___HTD_Plus_6.mat,Haralabidis_TD,HTD_Plus_6,50,,Solve_Succeeded,True,2.3680,11.66373,6.715e-09,
pred_sprinting_data_27-October-2023__11-55-38___IKTD_Minus_2.mat,Haralabidis_TD,IKTD_Minus_2,50,,Solve_Succeeded,True,8.3639,11.83445,9.147e-09,
pred_sprinting_data_26-October-2023__23-37-47___IKTD_Minus_4.mat,Haralabidis_TD,IKTD_Minus_4,50,,Solve_Succeeded,True,8.0584,11.83000,1.760e-08,
pred_sprinting_data_28-October-2023__13-58-45___IKTD_Minus_6.mat,Haralabidis_TD,IKTD_Minus_6,50,,Solve_Succeeded,True,7.1050,11.81628,1.652e-09,
pred_sprinting_data_27-October-2023__11-17-52___IKTD_Plus_2.mat,Haralabidis_TD,IKTD_Plus_2,50,,Solve_Succeeded,True,7.5010,11.84975,1.390e-08,
pred_sprinting_data_28-October-2023__16-43-06___IKTD_Plus_4.mat,Haralabidis_TD,IKTD_Plus_4,50,,Solve_Succeeded,True,7.3218,11.84127,2.886e-09,
pred_sprinting_data_26-October-2023__20-13-02___IKTD_Plus_6.mat,Haralabidis_TD,IKTD_Plus_6,50,,Solve_Succeeded,True,7.1676,11.82793,2.477e-09,
pred_sprinting_data_23-July-2026__12-01-11___HamFascicle_m30.mat,Morphology_fascicle,HamFascicle_m30,50,-30.0,Solve_Succeeded,True,6.7418,11.87424,3.854e-08,
pred_sprinting_data_23-July-2026__12-25-05___HamFascicle_m20.mat,Morphology_fascicle,HamFascicle_m20,50,-20.0,Solve_Succeeded,True,3.9980,11.67895,5.851e-09,
pred_sprinting_data_23-July-2026__12-44-27___HamFascicle_m10.mat,Morphology_fascicle,HamFascicle_m10,50,-10.0,Solve_Succeeded,True,6.0395,11.76114,2.181e-09,
pred_sprinting_data_23-July-2026__11-39-49___HamFascicle_p00.mat,Morphology_fascicle,HamFascicle_p00,50,0.0,Solve_Succeeded,True,7.4622,11.77739,3.831e-08,
pred_sprinting_data_23-July-2026__12-58-19___HamFascicle_p10.mat,Morphology_fascicle,HamFascicle_p10,50,10.0,Solve_Succeeded,True,7.6975,11.74490,5.075e-09,
pred_sprinting_data_23-July-2026__13-19-36___HamFascicle_p20.mat,Morphology_fascicle,HamFascicle_p20,50,20.0,Solve_Succeeded,True,7.6816,11.68863,1.542e-08,
pred_sprinting_data_23-July-2026__13-39-20___HamStrength_m30.mat,Morphology_strength,HamStrength_m30,50,-30.0,Solve_Succeeded,True,7.4560,11.49673,3.582e-08,
pred_sprinting_data_23-July-2026__13-57-30___HamStrength_m20.mat,Morphology_strength,HamStrength_m20,50,-20.0,Solve_Succeeded,True,7.5292,11.60644,3.513e-09,
pred_sprinting_data_23-July-2026__14-27-40___HamStrength_m10.mat,Morphology_strength,HamStrength_m10,50,-10.0,Solve_Succeeded,True,7.4979,11.69758,3.558e-10,
pred_sprinting_data_23-July-2026__14-46-45___HamStrength_p10.mat,Morphology_strength,HamStrength_p10,50,10.0,Solve_Succeeded,True,7.2601,11.84699,5.338e-09,
pred_sprinting_data_23-July-2026__15-02-22___HamStrength_p20.mat,Morphology_strength,HamStrength_p20,50,20.0,Solve_Succeeded,True,6.9975,11.90691,6.075e-09,
pred_sprinting_data_26-October-2023__10-52-28___Nominal.mat,Nominal,nominal,50,0.0,Solve_Succeeded,True,7.9043,11.85060,4.334e-08,
pred_sprinting_data_03-February-2026__18-04-46___Nominal.mat,Nominal,nominal,50,0.0,Solve_Succeeded,True,7.4626,11.77738,2.799e-08,
pred_sprinting_data_04-February-2026__12-27-31___Nominal.mat,Nominal,nominal,50,0.0,Solve_Succeeded,True,7.4626,11.77738,2.799e-08,
pred_sprinting_data_10-April-2026__16-29-40___Nominal.mat,Nominal,nominal,100,0.0,Solve_Succeeded,True,7.9870,11.83456,1.848e-08,
pred_sprinting_data_06-June-2026__01-01-47___PelvisShift_m06.mat,PelvicShift,PelvisShift_m06,50,-6.0,Infeasible_Problem_Detected,False,12.9626,10.62035,5.200e-02,
pred_sprinting_data_06-June-2026__00-28-35___PelvisShift_m04.mat,PelvicShift,PelvisShift_m04,50,-4.0,Infeasible_Problem_Detected,False,10.9626,10.51982,1.764e-02,
